,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
14,14,181,"{'correct': True, 'submitted_answer': {'0': 'c'}}",2020-10-17T00:17:17-07,blue3,2020-10-17T07:17:17.280Z,Submission,2020-10-17 00:17:17 (PDT),103674.0,4.0,lecture/algorithms,1373.0,4.0,109169.0,70125.0,1.0
15,15,181,,2020-10-17T00:17:17-07,green3,2020-10-17T07:17:17.376Z,View variant,2020-10-17 00:17:17 (PDT),103674.0,4.0,lecture/algorithms,1373.0,4.0,,70125.0,1.0
16,16,181,"{'params': {'0': [{'key': 'a', 'html': '<em>Glass box testing</em> means you test your code as if it&#8217;s very fragile, with very gentle tests'}, {'key': 'b', 'html': 'Mutable data is data whose “state” can be changed once created'}, {'key': 'c', 'html': 'Rigorous testing reveals the presence AND the absence of bugs'}, {'key': 'd', 'html': 'A command block must change ALL the mutable data it is given'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'b', 'html': 'Mutable data is data whose “state” can be changed once created'}}, 'variant_seed': '17cu75n'}",2020-10-17T00:17:18-07,gray1,2020-10-17T07:17:18.883Z,New variant,2020-10-17 00:17:18 (PDT),103675.0,5.0,lecture/testing+2048,1375.0,5.0,,70126.0,1.0
17,17,181,,2020-10-17T00:17:18-07,green3,2020-10-17T07:17:18.929Z,View variant,2020-10-17 00:17:18 (PDT),103675.0,5.0,lecture/testing+2048,1375.0,5.0,,70126.0,1.0
18,18,181,"{'correct': True, 'submitted_answer': {'0': 'b'}}",2020-10-17T00:17:45-07,blue3,2020-10-17T07:17:45.761Z,Submission,2020-10-17 00:17:45 (PDT),103675.0,5.0,lecture/testing+2048,1375.0,5.0,109171.0,70126.0,1.0
19,19,181,,2020-10-17T00:17:45-07,green3,2020-10-17T07:17:45.867Z,View variant,2020-10-17 00:17:45 (PDT),103675.0,5.0,lecture/testing+2048,1375.0,5.0,,70126.0,1.0
20,20,181,"{'params': {'0': [{'key': 'a', 'html': 'Augmented Reality (E.g., seeing computer-generated in your field of view, like Google Glass) is the most significant assistive technology available today.'}, {'key': 'b', 'html': 'Managing SETI@Home is hard because people actually try to cheat the system, compute nothing, but tell them they&#x27;re done with the work (to move up the user rankings).'}, {'key': 'c', 'html': 'According to Prof Brian Harvey, Arithmetic Drill Programs is the most important use of computers in education so far.'}, {'key': 'd', 'html': 'According to Prof Brian Harvey, Web Search is the most important use of computers in education so far.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'b', 'html': 'Managing SETI@Home is hard because people actually try to cheat the system, compute nothing, but tell them they&#x27;re done with the work (to move up the user rankings).'}}, 'variant_seed': 'vi9mpd'}",2020-10-17T00:17:47-07,gray1,2020-10-17T07:17:47.753Z,New variant,2020-10-17 00:17:47 (PDT),103676.0,6.0,lecture/global-impact,1374.0,6.0,,70127.0,1.0
21,21,181,,2020-10-17T00:17:47-07,green3,2020-10-17T07:17:47.794Z,View variant,2020-10-17 00:17:47 (PDT),103676.0,6.0,lecture/global-impact,1374.0,6.0,,70127.0,1.0
22,22,181,"{'correct': False, 'submitted_answer': {'0': 'a'}}",2020-10-17T00:18:14-07,blue3,2020-10-17T07:18:14.164Z,Submission,2020-10-17 00:18:14 (PDT),103676.0,6.0,lecture/global-impact,1374.0,6.0,109174.0,70127.0,1.0
23,23,181,,2020-10-17T00:18:14-07,green3,2020-10-17T07:18:14.257Z,View variant,2020-10-17 00:18:14 (PDT),103676.0,6.0,lecture/global-impact,1374.0,6.0,,70127.0,1.0
24,24,181,"{'params': {'b': [{'key': 'a', 'html': '\n        58$_{ 10 }$\n    '}, {'key': 'b', 'html': '\n        54$_{ 10 }$\n    '}, {'key': 'c', 'html': '\n        50$_{ 10 }$\n    '}, {'key': 'd', 'html': '\n        46$_{ 10 }$\n    '}, {'key': 'e', 'html': '\n        44$_{ 10 }$\n    '}, {'key': 'f', 'html': ' \n        56$_{ 10 }$\n    '}, {'key': 'g', 'html': '\n        52$_{ 10 }$\n    '}, {'key': 'h', 'html': '\n        48$_{ 10 }$\n    '}], 'i0': 58, 'i1': 54, 'i2': 52, 'i3': 50, 'i4': 48, 'i5': 46, 'i6': 44, 'Base1': '2', 'Base2': '16', 'Base3': '10', 'Number1': 8, 'Number2': 7, 'solution': '56', 'Converted_Number1': '1000', 'Converted_Number2': '7'}, 'options': {}, 'true_answer': {'b': {'key': 'f', 'html': ' \n        56$_{ 10 }$\n    '}}, 'variant_seed': '1218ds9'}",2020-10-17T00:18:17-07,gray1,2020-10-17T07:18:17.170Z,New variant,2020-10-17 00:18:17 (PDT),103677.0,7.0,number-multiplication,167.0,7.0,,70128.0,1.0
25,25,181,,2020-10-17T00:18:17-07,green3,2020-10-17T07:18:17.221Z,View variant,2020-10-17 00:18:17 (PDT),103677.0,7.0,number-multiplication,167.0,7.0,,70128.0,1.0
26,26,181,"{'correct': True, 'submitted_answer': {'b': 'f'}}",2020-10-17T00:19:12-07,blue3,2020-10-17T07:19:12.428Z,Submission,2020-10-17 00:19:12 (PDT),103677.0,7.0,number-multiplication,167.0,7.0,109177.0,70128.0,1.0
27,27,181,,2020-10-17T00:19:12-07,green3,2020-10-17T07:19:12.518Z,View variant,2020-10-17 00:19:12 (PDT),103677.0,7.0,number-multiplication,167.0,7.0,,70128.0,1.0
28,28,181,"{'params': {'a': [{'key': 'a', 'html': '\n            Functional\n        '}, {'key': 'b', 'html': ' \n            Imperative\n        '}, {'key': 'c', 'html': '\n            Object-Oriented\n        '}, {'key': 'd', 'html': '\n            Declarative\n        '}], 'b': [{'key': 'a', 'html': ' \n            Imperative\n        '}, {'key': 'b', 'html': '\n            Functional\n        '}, {'key': 'c', 'html': '\n            Object-Oriented\n        '}, {'key': 'd', 'html': '\n            Declarative\n        '}], 'c': [{'key': 'a', 'html': ' \n            Imperative\n        '}, {'key': 'b', 'html': '\n            Object-Oriented\n        '}, {'key': 'c', 'html': '\n            Functional\n        '}, {'key': 'd', 'html': '\n            Declarative\n        '}], 'd': [{'key': 'a', 'html': ' \n            Imperative\n        '}, {'key': 'b', 'html': '\n            Declarative\n        '}, {'key': 'c', 'html': '\n            Functional\n        '}, {'key': 'd', 'html': '\n            Object-Oriented\n        '}], 'Answer1': 'Imperative', 'Answer2': 'Functional', 'Answer3': 'Object-Oriented', 'Answer4': 'Declarative', 'Question1': '<pl-figure file-name=""imperative-1.png"" inline=""true"" width=""250""></pl-figure>', 'Question2': '<pl-figure file-name=""func-4.png"" inline=""true"" width=""250""></pl-figure>', 'Question3': '<pl-figure file-name=""oop-2.png"" inline=""true"" width=""250""></pl-figure>', 'Question4': '<pl-figure file-name=""declarative-4.png"" inline=""true"" width=""250""></pl-figure>'}, 'options': {}, 'true_answer': {'a': {'key': 'b', 'html': ' \n            Imperative\n        '}, 'b': {'key': 'b', 'html': '\n            Functional\n        '}, 'c': {'key': 'b', 'html': '\n            Object-Oriented\n        '}, 'd': {'key': 'b', 'html': '\n            Declarative\n        '}}, 'variant_seed': '1kcti07'}",2020-10-17T00:19:14-07,gray1,2020-10-17T07:19:14.056Z,New variant,2020-10-17 00:19:14 (PDT),103678.0,8.0,programming-paradigm,168.0,8.0,,70129.0,1.0
29,29,181,,2020-10-17T00:19:14-07,green3,2020-10-17T07:19:14.144Z,View variant,2020-10-17 00:19:14 (PDT),103678.0,8.0,programming-paradigm,168.0,8.0,,70129.0,1.0
30,30,181,"{'correct': True, 'submitted_answer': {'a': 'b', 'b': 'b', 'c': 'b', 'd': 'b'}}",2020-10-17T00:19:56-07,blue3,2020-10-17T07:19:56.636Z,Submission,2020-10-17 00:19:56 (PDT),103678.0,8.0,programming-paradigm,168.0,8.0,109179.0,70129.0,1.0
31,31,181,,2020-10-17T00:19:56-07,green3,2020-10-17T07:19:56.804Z,View variant,2020-10-17 00:19:56 (PDT),103678.0,8.0,programming-paradigm,168.0,8.0,,70129.0,1.0
32,32,181,"{'params': {'a0': '$A - (B \\times C)$', 'a1': '$(A \\times B) \\times C$', 'a2': '$C - B$', 'a3': '$A \\times C$', 'a4': '$A^C$', 'a5': '$A - C$', 'acc': [{'key': 'a', 'html': '$A \\times C$'}, {'key': 'b', 'html': '$A^C$'}, {'key': 'c', 'html': 'Error'}, {'key': 'd', 'html': '$A - (B \\times C)$'}, {'key': 'e', 'html': '$(A \\times B) \\times C$'}, {'key': 'f', 'html': 'The sum of all the numbers from A to B'}, {'key': 'g', 'html': '$A - C$'}, {'key': 'h', 'html': '$C - B$'}, {'key': 'i', 'html': 'Infinite Loop'}], 'code': 'minus1.png'}, 'options': {}, 'true_answer': {'acc': {'key': 'd', 'html': '$A - (B \\times C)$'}}, 'variant_seed': '11o0z3d'}",2020-10-17T00:19:59-07,gray1,2020-10-17T07:19:59.906Z,New variant,2020-10-17 00:19:59 (PDT),103679.0,9.0,snap/iteration/mystery-equation-v2,214.0,9.0,,70131.0,1.0
33,33,181,,2020-10-17T00:19:59-07,green3,2020-10-17T07:19:59.958Z,View variant,2020-10-17 00:19:59 (PDT),103679.0,9.0,snap/iteration/mystery-equation-v2,214.0,9.0,,70131.0,1.0
34,34,181,"{'correct': True, 'submitted_answer': {'acc': 'd'}}",2020-10-17T00:21:01-07,blue3,2020-10-17T07:21:01.198Z,Submission,2020-10-17 00:21:01 (PDT),103679.0,9.0,snap/iteration/mystery-equation-v2,214.0,9.0,109187.0,70131.0,1.0
35,35,181,,2020-10-17T00:21:01-07,green3,2020-10-17T07:21:01.302Z,View variant,2020-10-17 00:21:01 (PDT),103679.0,9.0,snap/iteration/mystery-equation-v2,214.0,9.0,,70131.0,1.0
36,36,181,"{'params': {'0': [{'key': 'a', 'html': '<pl-figure file-name=""correct.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'b', 'html': '<pl-figure file-name=""length-list-L&gt;4.png"" inline=""true"" width=""300""></pl-figure>'}, {'key': 'c', 'html': '<pl-figure file-name=""keep-&gt;4-from-length.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'd', 'html': '<pl-figure file-name=""length-text-L&gt;4.png"" inline=""true"" width=""300""></pl-figure>'}, {'key': 'e', 'html': '<pl-figure file-name=""list-length-text-L&gt;4.png"" inline=""true"" width=""300""></pl-figure>'}], '1': [{'key': 'a', 'html': '<pl-figure file-name=""map-words-list-L.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'b', 'html': '<pl-figure file-name=""map-L-words.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'c', 'html': '<pl-figure file-name=""map-words-L.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'd', 'html': '<pl-figure file-name=""keep-words-L.png"" inline=""true"" width=""450""></pl-figure>'}, {'key': 'e', 'html': '<pl-figure file-name=""combine-L-words.png"" inline=""true"" width=""450""></pl-figure>'}]}, 'options': {}, 'true_answer': {'0': {'key': 'a', 'html': '<pl-figure file-name=""correct.png"" inline=""true"" width=""450""></pl-figure>'}, '1': {'key': 'c', 'html': '<pl-figure file-name=""map-words-L.png"" inline=""true"" width=""450""></pl-figure>'}}, 'variant_seed': '129d6lh'}",2020-10-17T00:21:02-07,gray1,2020-10-17T07:21:02.940Z,New variant,2020-10-17 00:21:02 (PDT),103680.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,70134.0,1.0
37,37,181,,2020-10-17T00:21:03-07,green3,2020-10-17T07:21:03.043Z,View variant,2020-10-17 00:21:03 (PDT),103680.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,70134.0,1.0
38,38,181,,2020-10-17T00:21:10-07,green1,2020-10-17T07:21:10.303Z,View assessment overview,2020-10-17 00:21:10 (PDT),,,,,,,,
39,39,181,,2020-10-17T00:21:13-07,green3,2020-10-17T07:21:13.284Z,View variant,2020-10-17 00:21:13 (PDT),103680.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,70134.0,1.0
40,40,181,"{'correct': True, 'submitted_answer': {'0': 'a', '1': 'c'}}",2020-10-17T00:21:56-07,blue3,2020-10-17T07:21:56.780Z,Submission,2020-10-17 00:21:56 (PDT),103680.0,10.0,snap/HOFs/map-keep,1378.0,10.0,109190.0,70134.0,1.0
41,41,181,,2020-10-17T00:21:56-07,green3,2020-10-17T07:21:56.947Z,View variant,2020-10-17 00:21:56 (PDT),103680.0,10.0,snap/HOFs/map-keep,1378.0,10.0,,70134.0,1.0
42,42,181,"{'params': {'4': [{'key': 'a', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> cannot be an empty word (length 0), <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> = 0'}, {'key': 'b', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> cannot be an empty word (length 0), <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &lt; 0'}, {'key': 'c', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> cannot be an empty word (length 0), <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &gt; 0'}, {'key': 'd', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> cannot be an empty word (length 0), <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &#8804; 0'}, {'key': 'e', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> cannot be an empty word (length 0), <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &#8805; 0'}, {'key': 'f', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> can be anything, <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> = 0'}, {'key': 'g', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> can be anything, <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &lt; 0'}, {'key': 'h', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> can be anything, <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &gt; 0'}, {'key': 'i', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> can be anything, <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &#8804; 0'}, {'key': 'j', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> can be anything, <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &#8805; 0'}]}, 'options': {}, 'true_answer': {'1': '1CAL1', '2': '21CAL12', '4': {'key': 'j', 'html': '<pl-figure file-name=""word.png"" inline=""true"" width=""50""></pl-figure> can be anything, <pl-figure file-name=""n.png"" inline=""true"" width=""30""></pl-figure> &#8805; 0'}, '3A': '80079', '3B': '99800'}, 'variant_seed': 'xj2oar'}",2020-10-17T00:21:58-07,gray1,2020-10-17T07:21:58.580Z,New variant,2020-10-17 00:21:58 (PDT),103681.0,12.0,snap/recursion/magical-mystery/v2,1382.0,11.0,,70136.0,1.0
43,43,181,,2020-10-17T00:21:58-07,green3,2020-10-17T07:21:58.728Z,View variant,2020-10-17 00:21:58 (PDT),103681.0,12.0,snap/recursion/magical-mystery/v2,1382.0,11.0,,70136.0,1.0
44,44,181,"{'correct': True, 'submitted_answer': {'1': '1CAL1', '2': '21CAL12', '4': 'j', '3A': '80079', '3B': '99800'}}",2020-10-17T00:24:16-07,blue3,2020-10-17T07:24:16.960Z,Submission,2020-10-17 00:24:16 (PDT),103681.0,12.0,snap/recursion/magical-mystery/v2,1382.0,11.0,109198.0,70136.0,1.0
45,45,181,,2020-10-17T00:24:17-07,green3,2020-10-17T07:24:17.196Z,View variant,2020-10-17 00:24:17 (PDT),103681.0,12.0,snap/recursion/magical-mystery/v2,1382.0,11.0,,70136.0,1.0
46,46,181,"{'params': {'1': [{'key': 'a', 'html': 'Sorted elements of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure> in <i>descending</i> order'}, {'key': 'b', 'html': 'Sorted elements of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure> in <i>ascending</i> order'}, {'key': 'c', 'html': 'The elements of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure> reversed'}, {'key': 'd', 'html': 'The elements of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure> whose value matches the <i>reverse index</i> (i.e., the last element had an index of 1, the next-to-last element had an index of 2, etc.)'}, {'key': 'e', 'html': 'The elements of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure> whose value matches the index'}], '2': [{'key': 'a', 'html': 'The <i>smallest</i> index that is in <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure>.'}, {'key': 'b', 'html': 'The element at the <i>largest</i> index that is also in <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure>.'}, {'key': 'c', 'html': 'The element at the <i>smallest</i> index that is also in <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure>.'}, {'key': 'd', 'html': 'The <i>largest</i> index that is in <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure>.'}, {'key': 'e', 'html': 'The the <i>largest</i> index, i.e., the length of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure>.'}], '3': [{'key': 'a', 'html': 'The elements that are in either <pl-figure file-name=""A.png"" inline=""true"" width=""30""></pl-figure> or <pl-figure file-name=""B.png"" inline=""true"" width=""30""></pl-figure>'}, {'key': 'b', 'html': 'The elements of <pl-figure file-name=""A.png"" inline=""true"" width=""30""></pl-figure> that are not in <pl-figure file-name=""B.png"" inline=""true"" width=""30""></pl-figure>'}, {'key': 'c', 'html': 'The elements that are in both <pl-figure file-name=""A.png"" inline=""true"" width=""30""></pl-figure> and <pl-figure file-name=""B.png"" inline=""true"" width=""30""></pl-figure>'}, {'key': 'd', 'html': 'The elements of <pl-figure file-name=""B.png"" inline=""true"" width=""30""></pl-figure> that are not in <pl-figure file-name=""A.png"" inline=""true"" width=""30""></pl-figure>'}, {'key': 'e', 'html': 'The elements of <pl-figure file-name=""B.png"" inline=""true"" width=""30""></pl-figure>'}], '4': [{'key': 'a', 'html': 'are all false'}, {'key': 'b', 'html': 'have any false values'}, {'key': 'c', 'html': 'are all true'}, {'key': 'd', 'html': 'have no true values'}, {'key': 'e', 'html': 'are not all false'}], '5': [{'key': 'a', 'html': 'The words with lengths <i>exactly as large as</i> their indices. ='}, {'key': 'b', 'html': 'The words with lengths <i>larger than</i> their indices. &gt;'}, {'key': 'c', 'html': 'The words with lengths <i>at least as large</i> as their indices. &#8805;'}, {'key': 'd', 'html': 'The words with lengths <i>smaller than</i> their indices. &lt;'}, {'key': 'e', 'html': 'The words with lengths <i>at most as</i> large as their indices. &#8804;'}]}, 'options': {}, 'true_answer': {'1': {'key': 'c', 'html': 'The elements of <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure> reversed'}, '2': {'key': 'c', 'html': 'The element at the <i>smallest</i> index that is also in <pl-figure file-name=""data.png"" inline=""true"" width=""50""></pl-figure>.'}, '3': {'key': 'c', 'html': 'The elements that are in both <pl-figure file-name=""A.png"" inline=""true"" width=""30""></pl-figure> and <pl-figure file-name=""B.png"" inline=""true"" width=""30""></pl-figure>'}, '4': [{'key': 'a', 'html': 'are all false'}, {'key': 'd', 'html': 'have no true values'}], '5': {'key': 'c', 'html': 'The words with lengths <i>at least as large</i> as their indices. &#8805;'}}, 'variant_seed': '1rbuz4o'}",2020-10-17T00:24:19-07,gray1,2020-10-17T07:24:19.706Z,New variant,2020-10-17 00:24:19 (PDT),103682.0,13.0,snap/HOFs/map-keep-combine,1379.0,12.0,,70137.0,1.0
47,47,181,,2020-10-17T00:24:19-07,green3,2020-10-17T07:24:19.860Z,View variant,2020-10-17 00:24:19 (PDT),103682.0,13.0,snap/HOFs/map-keep-combine,1379.0,12.0,,70137.0,1.0
48,48,181,"{'correct': False, 'submitted_answer': {'1': 'c', '2': 'c', '3': 'c', '4': ['c', 'e'], '5': 'c'}}",2020-10-17T00:32:54-07,blue3,2020-10-17T07:32:54.837Z,Submission,2020-10-17 00:32:54 (PDT),103682.0,13.0,snap/HOFs/map-keep-combine,1379.0,12.0,109247.0,70137.0,1.0
49,49,181,,2020-10-17T00:32:55-07,green3,2020-10-17T07:32:55.128Z,View variant,2020-10-17 00:32:55 (PDT),103682.0,13.0,snap/HOFs/map-keep-combine,1379.0,12.0,,70137.0,1.0
50,50,181,"{'params': {'1': [{'key': 'a', 'html': 'Exponential'}, {'key': 'b', 'html': 'Quadratic'}, {'key': 'c', 'html': 'Linear'}, {'key': 'd', 'html': 'Logarithmic'}, {'key': 'e', 'html': 'Constant'}], '2': [{'key': 'a', 'html': 'Exponential'}, {'key': 'b', 'html': 'Quadratic'}, {'key': 'c', 'html': 'Linear'}, {'key': 'd', 'html': 'Logarithmic'}, {'key': 'e', 'html': 'Constant'}], '3': [{'key': 'a', 'html': 'Exponential'}, {'key': 'b', 'html': 'Quadratic'}, {'key': 'c', 'html': 'Linear'}, {'key': 'd', 'html': 'Logarithmic'}, {'key': 'e', 'html': 'Constant'}], '4': [{'key': 'a', 'html': 'Exponential'}, {'key': 'b', 'html': 'Quadratic'}, {'key': 'c', 'html': 'Linear'}, {'key': 'd', 'html': 'Logarithmic'}, {'key': 'e', 'html': 'Constant'}], '5': [{'key': 'a', 'html': 'Exponential'}, {'key': 'b', 'html': 'Quadratic'}, {'key': 'c', 'html': 'Linear'}, {'key': 'd', 'html': 'Logarithmic'}, {'key': 'e', 'html': 'Constant'}]}, 'options': {}, 'true_answer': {'1': {'key': 'b', 'html': 'Quadratic'}, '2': {'key': 'b', 'html': 'Quadratic'}, '3': {'key': 'e', 'html': 'Constant'}, '4': {'key': 'c', 'html': 'Linear'}, '5': {'key': 'd', 'html': 'Logarithmic'}}, 'variant_seed': '1h23f7f'}",2020-10-17T00:32:57-07,gray1,2020-10-17T07:32:57.338Z,New variant,2020-10-17 00:32:57 (PDT),103683.0,14.0,snap/complexity,1377.0,13.0,,70152.0,1.0
51,51,181,,2020-10-17T00:32:57-07,green3,2020-10-17T07:32:57.456Z,View variant,2020-10-17 00:32:57 (PDT),103683.0,14.0,snap/complexity,1377.0,13.0,,70152.0,1.0
52,52,181,"{'correct': True, 'submitted_answer': {'1': 'b', '2': 'b', '3': 'e', '4': 'c', '5': 'd'}}",2020-10-17T00:34:26-07,blue3,2020-10-17T07:34:26.062Z,Submission,2020-10-17 00:34:26 (PDT),103683.0,14.0,snap/complexity,1377.0,13.0,109251.0,70152.0,1.0
53,53,181,,2020-10-17T00:34:26-07,green3,2020-10-17T07:34:26.266Z,View variant,2020-10-17 00:34:26 (PDT),103683.0,14.0,snap/complexity,1377.0,13.0,,70152.0,1.0
